subject,retailer,event,season,discount_pc,discount_money,up_to,sale,free_delivery,name,emoji
Ride in Style - New this week,ride away,,,,,,,,,
Decked out dogs 🐶 Weatherbeeta Dog Collection,ride away,,,,,,,,,emoji
Kit your horse out for less 💰 With Amigo,ride away,,,,,,,,,emoji
The perfect outfits for horsing around 🐴,ride away,,,,,,,,,emoji
Rugs For Rainy Days 🌦️  Plus Bank Holiday Offers,ride away,Bank Holiday,,,,,,,,emoji
Style your way to number 1 💪 Top to toe Ariat,ride away,,,,,,,,,emoji
Be Bold with Bucas Rugs ⚡,ride away,,,,,,,,,emoji
Give him the best - Rideaway x Weatherbeeta Video 🎥,ride away,,,,,,,,,emoji
This Just In 🗞️ New Dublin,ride away,,,,,,,,,emoji
Work & Play - Your favourite styles,ride away,,,,,,,,,
"[CUSTOMER_NAME], simple savings this June",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Don't miss out on £18* off your first online grocery shop,sainsbury's,,,,£18*,,,,,
OOPS! Fuel promotion date correction,sainsbury's,,,,,,,,,
Save 10p per litre of fuel and 18-pack beer offer,sainsbury's,,,,,,,,,
Get up to 10x Nectar points this weekend,sainsbury's,,,,,up to,,,,
Last chance for bonus points,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], 10p off per litre of fuel and 25% off wine",sainsbury's,,,25%,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], £18 off your first online grocery shop",sainsbury's,,,,£18,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], a sweet offer for you inside",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], £5 Prosecco, plus the cool new houmous on the block...",sainsbury's,,,,£5,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], here's £18 off your first online grocery order",sainsbury's,,,,£18,,,,[CUSTOMER_NAME],
35p veg and your Christmas menu sorted,sainsbury's,Christmas,,,,,,,,
Up to 50% off selected homeware and up to 30% off selected electricals,sainsbury's,,,50%,,up to,,,,
Try something new for 2020 and get £18 off,sainsbury's,,,,£18,,,,,
"[CUSTOMER_NAME], time to see how you shopped in 2019",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], don't miss £18 off this new year",sainsbury's,,,,£18,,,,[CUSTOMER_NAME],
Veganuary inspiration? Let's start with 60p veg,sainsbury's,,,,,,,,,
We're investing £1bn over the next 20 years to get us to net zero,sainsbury's,,,,£1bn,,,,,
Fancy 10x points this weekend?,sainsbury's,,,,,,,,,
Your last chance for up to 10x points,sainsbury's,,,,,up to,,,,
Fall in love with £5 prosecco and £5 roses,sainsbury's,,,,£5,,,,,
Exclusive prices every time you scan,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], sweet or savoury - which will you go for?",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"Open for a treat this payday weekend, [CUSTOMER_NAME]",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Grab Nectar Prices while you still can,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], everything's still in your basket",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], enjoy £18 off your first online grocery shop",sainsbury's,,,,£18,,,,[CUSTOMER_NAME],
Message from Sainsbury's Chief Executive Mike Coupe,sainsbury's,,,,,,,,,
Update from Sainsbury's Chief Executive Mike Coupe,sainsbury's,,,,,,,,,
Further update from Sainsbury's Chief Executive Mike Coupe,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], you’re ready to use SmartShop",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], how we're helping to stop the spread in store",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Help us support the most vulnerable communities,sainsbury's,,,,,,,,,
Make the most of Easter at home this year…,sainsbury's,Easter,,,,,,,,
"[CUSTOMER_NAME], donate now to support those who need it most",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], get baking and make your food last longer",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], introducing our Volunteer shopping card",sainsbury's,,,,,,,,[CUSTOMER_NAME],
The Big Night In is almost here!,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], best-ever brekkie, brunch and lunches",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Recipes to brighten your long weekend,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], what's your favourite takeaway?",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], find the perfect at-home picnic",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], delicious meals on a budget?",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Update from Sainsbury's Chief Executive Simon Roberts,sainsbury's,,,,,,,,,
"Mr MacLean, sort your life insurance, then put your feet up...",sainsbury's,,,,,,,,,
Get up to £110 of Nectar points with Sainsbury's Bank Life Insurance,sainsbury's,,,,£110,up to,,,,
Our Nectar Credit Card has landed,sainsbury's,,,,,,,,,
Thinking of a new car or home improvements?,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], feel-good family food and hacks to help Jan whizz by",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], fresh ideas for all the family this January",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], let's liven up your lunchtime",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], what have you got for snack o'clock?",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], your Nectar points take you further with British Airways",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], ready, set… bake!",sainsbury's,,,,,,,,[CUSTOMER_NAME],
We're investing £1bn to reach Net Zero by 2040,sainsbury's,,,,£1bn,,,,,
Big plans this year? Our rates are too small to miss,sainsbury's,,,,,,,,,
Loads of prices matched - expect Sainsbury's quality at Aldi prices,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], groceries for £1 and budget-friendly meals",sainsbury's,,,,£1,,,,[CUSTOMER_NAME],
There's a pot of points at the end of your rainbow,sainsbury's,,,,,,,,,
Yes [CUSTOMER_NAME]! 10x points weekend is on its way,sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], all you need for some self-care",sainsbury's,,,,,,,,[CUSTOMER_NAME],
You can still get 10x points until tomorrow,sainsbury's,,,,,,,,,
Our features will set tails wagging,sainsbury's,,,,,,,,,
"Looking for the perfect Mother's Day gift, [CUSTOMER_NAME]?",sainsbury's,Mother's Day,,,,,,,[CUSTOMER_NAME],
Mr MacLean could one of our low rate loans work for you?,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], open for great value meal inspiration",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], deliciously good fun at home, this way",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"Mr MacLean, 6,000 bonus Nectar points when you take out a loan with us",sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], on the hunt for Easter ideas?",sainsbury's,Easter,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], shop early for an even more relaxing Easter weekend",sainsbury's,Easter,,,,,,,[CUSTOMER_NAME],
"Ready to go al fresco for Easter, [CUSTOMER_NAME]?",sainsbury's,Easter,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], the 4-day weekend is almost here",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], get home insurance from £108***",sainsbury's,,,,£108***,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], give your home, hair and skin a makeover this spring",sainsbury's,,Spring,,,,,,[CUSTOMER_NAME],
"Dust down the barbie and grab your picnic basket, [CUSTOMER_NAME]",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], tasty ways to make a difference this Earth Day",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"Hurry, not long left for 10x points",sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], get ready for our 3-day points booster",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], fresh in: new Aldi Price Match products",sainsbury's,,,,,,,,[CUSTOMER_NAME],
A little reminder from Sainsbury's Bank Pet Insurance,sainsbury's,,,,,,,,,
"[CUSTOMER_NAME], who's up for a Mexican night?",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], order yourself a tasty night in",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Don't forget! £50 of points with our Nectar credit card,sainsbury's,,,,£50,,,,,
"Fancy £5 off your first spring shop, [CUSTOMER_NAME]?",sainsbury's,,Spring,,£5,,,,[CUSTOMER_NAME],
"Mr Maclean, sort your life insurance, then put your feet up...",sainsbury's,,,,,,,,,
Get up to £115 of Nectar points with Sainsbury's Bank Life Insurance,sainsbury's,,,,£115,up to,,,,
"[CUSTOMER_NAME], take a look to see how we're helping everyone eat better",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], fancy turning peas and pears into points?",sainsbury's,,,,,,,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], let the fruit and veg fun begin",sainsbury's,,,,,,,,[CUSTOMER_NAME],
Get home insurance from £108***,sainsbury's,,,,£108***,,,,,
"[CUSTOMER_NAME], how about £10 off in time for summer?",sainsbury's,,Summer,,£10,,,,[CUSTOMER_NAME],
Bonus Nectar points with Sainsbury's Bank Loans,sainsbury's,,,,,,,,,
Don't forget you can get home insurance from £108***,sainsbury's,,,,£108***,,,,,
Remember we're offering bonus Nectar points with our loans,sainsbury's,,,,,,,,,
"Don't forget [CUSTOMER_NAME], there's £10 off waiting for you",sainsbury's,,,,£10,,,,[CUSTOMER_NAME],
"Don't miss out on your £5 off, [CUSTOMER_NAME]",sainsbury's,,,,£5,,,,[CUSTOMER_NAME],
Our credit cards give you bonus Nectar points,sainsbury's,,,,,,,,,
"How does £10 off sound, [CUSTOMER_NAME]?",sainsbury's,,,,£10,,,,[CUSTOMER_NAME],
"Keeping customers and colleagues safe in store from today, Monday 19th July.",sainsbury's,,,,,,,,,
"Remember, Nectar member discount on home insurance*",sainsbury's,,,,,,,,,
"Mr Maclean, sort your life insurance, then put your feet up…  ",sainsbury's,,,,,,,,,
Choose which pet cover is right for you + £35 Nectar points,sainsbury's,,,,£35,,,,,
"Whatever’s on the cards, we can help",sainsbury's,,,,,,,,,
"Whatever’s on the cards, we can still help",sainsbury's,,,,,,,,,
Get up to £110 of Nectar points with Sainsbury's Bank Life Insurance*,sainsbury's,,,,£110,up to,,,,
Get your finances sorted for 2022,sainsbury's,,,,,,,,,
Still thinking about sorting your finances?,sainsbury's,,,,,,,,,
Don't miss our 72 hour travel money sale,sainsbury's,,,,,,sale,,,
Don't forget our 72 hour travel money sale,sainsbury's,,,,,,sale,,,
"Mr MacLean, sort out your life insurance then put your feet up",sainsbury's,,,,,,,,,
Get £100 worth of Nectar points with Sainsbury's Bank Life Insurance*,sainsbury's,,,,£100,,,,,
Don't miss our travel money sale,sainsbury's,,,,,,sale,,,
Boost your Nectar balance when you shop,sainsbury's,,,,,,,,,
Don’t miss our 72-hour travel money sale,sainsbury's,,,,,,sale,,,
Casual Jackets from £99 | Casual shirts from £19.95,t.m.lewin,,,,£99,,,,,
Sale Shirts NOW £24.95 Each,t.m.lewin,,,,£2495,,sale,,,
Exclusive Sale Preview | Now Live!,t.m.lewin,,,,,,sale,,,
Limited Offer | 5 shirts for £120,t.m.lewin,,,,£120,,,,,
New shirts this summer,t.m.lewin,,Summer,,,,,,,
Summer Season Ready?,t.m.lewin,,Summer,,,,,,,
25% Off New Season,t.m.lewin,,,25%,,,,,,
Further reductions | Your favourite sale suits,t.m.lewin,,,,,,sale,,,
4 for £70 ⚽️ World beating shirts,t.m.lewin,,,,£70,,,,,emoji
Extra 10% off Sale | Now Extended!,t.m.lewin,,,10%,,,sale,,,
Sale Shirts Now From £15 | Final Reductions,t.m.lewin,,,,£15,,sale,,,
Last 24 hours of sale!,t.m.lewin,,,,,,sale,,,
Dress down August | Shop our new season,t.m.lewin,,,,,,,,,
20% Off our Spring Collection,t.m.lewin,,Spring,20%,,,,,,
Tailored For Success,t.m.lewin,,,,,,,,,
Spring. New shirts please.,t.m.lewin,,Spring,,,,,,,
"[CUSTOMER_NAME], it’s your last week to save big",t.m.lewin,,,,,,,,[CUSTOMER_NAME],
Casual Sale Shirts now from £15,t.m.lewin,,,,£15,,sale,,,
"On the first day of Christmas, I went out wearing…",t.m.lewin,Christmas,,,,,,,,
Black Friday Offers | Last Chance,t.m.lewin,Black Friday,,,,,,,,
"[CUSTOMER_NAME], shop the best BLACK FRIDAY sale in business",t.m.lewin,Black Friday,,,,,sale,,[CUSTOMER_NAME],
Black Friday | 20% Off All Shirts,t.m.lewin,Black Friday,,20%,,,,,,
BLACK FRIDAY | Your VIP 24 Hours Early Access.,t.m.lewin,Black Friday,,,,,,,,
Shirt alert for [CUSTOMER_NAME]! Our New Collection...,t.m.lewin,,,,,,,,[CUSTOMER_NAME],
Lineker’s Likes | Perfect Shirts for the Perfect Man,t.m.lewin,,,,,,,,,
NEW SEASON! WE'RE ON FIRE!,t.m.lewin,,,,,,,,,
This is it...your last 24 hours to shop sale,t.m.lewin,,,,,,sale,,,
"[CUSTOMER_NAME], it's our last few days of sale",t.m.lewin,,,,,,sale,,[CUSTOMER_NAME],
Final Week | An extra 10% off Sale,t.m.lewin,,,10%,,,sale,,,
Your exclusive extra saving,t.m.lewin,,,,,,,,,
"[CUSTOMER_NAME], layer up for less this autumn",t.m.lewin,,Autumn,,,,,,[CUSTOMER_NAME],
Slim Fit Sale Shirts | 4 from £80,t.m.lewin,,,,£80,,sale,,,
Sale now on! 4 shirts from £80 online & in-store.,t.m.lewin,,,,£80,,sale,,,
"[CUSTOMER_NAME], there’s only 24 hours left to shop the sale before everyone else",t.m.lewin,,,,,,sale,,[CUSTOMER_NAME],
"[CUSTOMER_NAME], Here's your exclusive early access to our Sale",t.m.lewin,,,,,,sale,,[CUSTOMER_NAME],
New Luxury Shirts in your preferred Slim Fit,t.m.lewin,,,,,,,,,
Look Immaculate in our Slim Fit Non-Iron Shirts,t.m.lewin,,,,,,,,,
"[CUSTOMER_NAME], Introducing the Ultimate T.M.Lewin shirt",t.m.lewin,,,,,,,,[CUSTOMER_NAME],
New for you | Luxurious Egyptian Cotton Shirts,t.m.lewin,,,,,,,,,
Impeccably Italian: Introducing our new Premium Italian shirt collection,t.m.lewin,,,,,,,,,
The finishing touch: New Season Luxury Accessories,t.m.lewin,,,,,,,,,
Perfect New Shirts: Discover the Ultimate in Business shirts,t.m.lewin,,,,,,,,,
Sale | Last Few Hours | Don't Miss Out!,t.m.lewin,,,,,,sale,,,
"Hurry, Last Few Days",t.m.lewin,,,,,,,,,
An extra 10% off Sale,t.m.lewin,,,10%,,,sale,,,
SALE | Business casual shirts from £15,t.m.lewin,,,,£15,,sale,,,
Suits now from £129,t.m.lewin,,,,£129,,,,,
SALE | Our finest casualwear,t.m.lewin,,,,,,sale,,,
Sale | Now on!,t.m.lewin,,,,,,sale,,,
Sale Preview | Your exclusive early access,t.m.lewin,,,,,,sale,,,
Style never sleeps – shop our 23-hour looks now,t.m.lewin,,,,,,,,,
Beat the heat in Egyptian cotton shirts,t.m.lewin,,,,,,,,,
"Advantage, Non-iron Shirts",t.m.lewin,,,,,,,,,
Your Exclusive Easter Weekend Offer,t.m.lewin,Easter,,,,,,,,
Last chance Sale + new season sneak peak,t.m.lewin,,,,,,sale,,,
It's been too long...,t.m.lewin,,,,,,,,,
New Exclusive Collections at T.M.Lewin,t.m.lewin,,,,,,,,,
Exclusive Offer | 20% Off New Season,t.m.lewin,,,20%,,,,,,
Enjoy 20% Off | Bank Holiday Special,t.m.lewin,Bank Holiday,,20%,,,,,,
Your Exclusive Offer - Don't miss out!,t.m.lewin,,,,,,,,,
Last Chance | Your Exclusive Offer Ends Soon,t.m.lewin,,,,,,,,,
Tailoring Event: 20% Off,t.m.lewin,,,20%,,,,,,
Exclusive Sale Preview Now Live!,t.m.lewin,,,,,,sale,,,
Ends Tonight | Exclusive Sale Preview,t.m.lewin,,,,,,sale,,,
SALE | Our finest casualwear,t.m.lewin,,,,,,sale,,,
Must-have sale shirts – now from £29,t.m.lewin,,,,£29,,sale,,,
Formal Shirts Now From £22.50,t.m.lewin,,,,£2250,,,,,
Winter. Wool Rules.,t.m.lewin,,Winter,,,,,,,
Escape the ordinary.,t.m.lewin,,,,,,,,,
Winter is coming.,t.m.lewin,,Winter,,,,,,,
Extra 10% Off Sale,t.m.lewin,,,10%,,,sale,,,
Exclusive Offer - 20% off! | Ends Sunday,t.m.lewin,,,20%,,,,,,
You'll need a coat,t.m.lewin,,,,,,,,,
Winter Casual,t.m.lewin,,Winter,,,,,,,
I'm dreaming of...,t.m.lewin,,,,,,,,,
£25 shirts | Save up to £19.95,t.m.lewin,,,,£25,up to,,,,
Black Friday Is Here!,t.m.lewin,Black Friday,,,,,,,,
Shirts 5 for £120 | Save £79,t.m.lewin,,,,£120,,,,,
Christmas Gift Inspiration,t.m.lewin,Christmas,,,,,,,,
Last Chance | Save £15 on any shirt,t.m.lewin,,,,£15,,,,,
Last Chance | Sale Preview,t.m.lewin,,,,,,sale,,,
Sale Now On!,t.m.lewin,,,,,,sale,,,
Sale Specials | 4 Days Only!,t.m.lewin,,,,,,sale,,,
Last 24 Hours! | Sale Specials,t.m.lewin,,,,,,sale,,,
Extra 10% Off Sale | Happy New Year!,t.m.lewin,,,10%,,,sale,,,
Further Reductions Now On!,t.m.lewin,,,,,,,,,
Extra 10% off sale shirts and suits,t.m.lewin,,,10%,,,sale,,,
Now Up To 70% Off,t.m.lewin,,,70%,,up to,,,,
All Sale Shirts £19.95 | Final Week,t.m.lewin,,,,£1995,,sale,,,
Final Weekend | Now up to 70% off,t.m.lewin,,,70%,,up to,,,,
Fresh Shirts for Spring,t.m.lewin,,Spring,,,,,,,
"When in Rome, go casual",t.m.lewin,,,,,,,,,
5 for £120 | All Easy to Iron Shirts,t.m.lewin,,,,£120,,,,,
Stylish Spring Looks,t.m.lewin,,Spring,,,,,,,
5 Shirts for £120 | Ends Tomorrow!,t.m.lewin,,,,£120,,,,,
£20 off Chinos | Exclusive Offer,t.m.lewin,,,,£20,,,,,
Machine Washable Suits | 100% Italian Wool,t.m.lewin,,,100%,,,,,,
High Performance Stretch Shirts,t.m.lewin,,,,,,,,,
20% Off New Season Collection!,t.m.lewin,,,20%,,,,,,
Sexy Italian Style,t.m.lewin,,,,,,,,,
The Perfect Spring Shirt.,t.m.lewin,,Spring,,,,,,,
"Sleek, Sharp and Sexy. High Performance Suits.",t.m.lewin,,,,,,,,,
Wedding Season | Guests of Honour,t.m.lewin,,,,,,,,,
48 hours left! | Extra 10% off sale,t.m.lewin,,,10%,,,sale,,,
Extra 10% off sale!,t.m.lewin,,,10%,,,sale,,,
Final Days Of Sale | Up to 60% off,t.m.lewin,,,60%,,up to,sale,,,
Further Reductions - Now Up To 60% Off,t.m.lewin,,,60%,,up to,,,,
Are you tempted by an EXTRA 10% off?,t.m.lewin,,,10%,,,,,,
You're getting an extra 10% off!,t.m.lewin,,,10%,,,,,,
Your Exclusive Easter Weekend Offer!,t.m.lewin,Easter,,,,,,,,
"Hurry, Your Easter Offer Ends Soon!",t.m.lewin,Easter,,,,,,,,
Keep it formal | T.M.Lewin Essentials,t.m.lewin,,,,,,,,,
25% Off New Season | Ends Tuesday,t.m.lewin,,,25%,,,,,,
Ends Tuesday! 25% Off New Season,t.m.lewin,,,25%,,,,,,
Bank Holiday Weekend Offer - 25% Off New Season,t.m.lewin,Bank Holiday,,25%,,,,,,
£24.95 Shirts | Save up to £35!,t.m.lewin,,,,£2495,up to,,,,
Ends Monday | All Shirts £24.95,t.m.lewin,,,,£2495,,,,,
The World's Finest Casual Shirts,t.m.lewin,,,,,,,,,
The Correct Summer Casual,t.m.lewin,,Summer,,,,,,,
48 Hours Left - Exclusive Sale Preview,t.m.lewin,,,,,,sale,,,
Up To 50% Off - Sale Now On In-Store & Online,t.m.lewin,,,50%,,up to,sale,,,
Offer Extended! Full Price Shirts now £24.95,t.m.lewin,,,,£2495,,,,,
Further Reductions Now Live | Now up to 60% off!,t.m.lewin,,,60%,,up to,,,,
Save over £100 | Sale Shirts now 5 for £90,t.m.lewin,,,,£100,,sale,,,
Save an extra 15% when you spend over £100,t.m.lewin,,,15%,£100,,,,,
All Sale Shirts Now 4 for £70,t.m.lewin,,,,£70,,sale,,,
20% Off Full Price Items & Extra 10% Off Sale!,t.m.lewin,,,20%,,,sale,,,
Exclusive New Season Shirt Preview!,t.m.lewin,,,,,,,,,
Sale shirts now 5 for £80 | Save over £115,t.m.lewin,,,,£80,,sale,,,
Extra 10% off Sale – Last few days,t.m.lewin,,,10%,,,sale,,,
Final 24 Hours Of Sale | Extra 10% Off,t.m.lewin,,,10%,,,sale,,,
Save £20 on the perfect summer casual offer,t.m.lewin,,Summer,,£20,,,,,
25% Off Everything - Limited Time Only!,t.m.lewin,,,25%,,,,,,
25% Off Everything - Final 24 Hours!,t.m.lewin,,,25%,,,,,,
Bring in the Bank Holiday with £10 Off Anything!,t.m.lewin,Bank Holiday,,,£10,,,,,
Ends Tomorrow | £10 Off New Season Collection,t.m.lewin,,,,£10,,,,,
Look sharp every single day of the week,t.m.lewin,,,,,,,,,
Limited Offer - 5 Easy to Iron Shirts for £120!,t.m.lewin,,,,£120,,,,,
Check out our new suits...,t.m.lewin,,,,,,,,,
Final 24 Hours | 5 for £120 Shirts & Ties,t.m.lewin,,,,£120,,,,,
Shirts for £25 - Exclusive Online Offer,t.m.lewin,,,,£25,,,,,
Last 24 Hours! Shirts for £25 - Exclusive Online Offer,t.m.lewin,,,,£25,,,,,
Sale Now On In-stores & Online | Up to 50% Off,t.m.lewin,,,50%,,up to,sale,,,
Sale | 4 Shirts from £79.80,t.m.lewin,,,,£7980,,sale,,,
Further Reductions. Now up to 60% off!,t.m.lewin,,,60%,,up to,,,,
Further Reductions. Sale Suits Now From £99.,t.m.lewin,,,,£99,,sale,,,
Must-haves this season | Further Reductions,t.m.lewin,,,,,,,,,
Our Sale just got bigger and better...,t.m.lewin,,,,,,sale,,,
Sale Shirts Now 4 For £70,t.m.lewin,,,,£70,,sale,,,
Ends Tomorrow | Sale Shirts now 4 for £70,t.m.lewin,,,,£70,,sale,,,
Extra 10% off sale | Last few days,t.m.lewin,,,10%,,,sale,,,
Extra 20% NOW off Sale & Full Price | Final Weekend,t.m.lewin,,,20%,,,sale,,,
Extra 20% off everything,t.m.lewin,,,20%,,,,,,
Discover the new winter collection.,t.m.lewin,,Winter,,,,,,,
Stylish Coats For Winter.,t.m.lewin,,Winter,,,,,,,
Last 24 Hours – New Season Offers,t.m.lewin,,,,,,,,,
Limited Time Offer - 20% Off New Season!,t.m.lewin,,,20%,,,,,,
20% Off New Season | Limited time only!,t.m.lewin,,,20%,,,,,,
Final 24 Hours! | 20% Off New Season Collection,t.m.lewin,,,20%,,,,,,
Dress Code: Party!,t.m.lewin,,,,,,,,,
Beat the chill with Winter layering...,t.m.lewin,,Winter,,,,,,,
Stand Out Party Shirts,t.m.lewin,,,,,,,,,
Multibuy Special Offer | Save up to £80,t.m.lewin,,,,£80,up to,,,,
The Finest Shirts 5 for £120,t.m.lewin,,,,£120,,,,,
Save up to £80 | Multibuy Special Offer,t.m.lewin,,,,£80,up to,,,,
Exclusive Black Friday Preview Now Live,t.m.lewin,Black Friday,,,,,,,,
Black Friday Now On!,t.m.lewin,Black Friday,,,,,,,,
Black Friday | Shirts £19.95,t.m.lewin,Black Friday,,,£1995,,,,,
Black Friday Suits from £149 | Britain’s Favourite Shirts from £19.95,t.m.lewin,Black Friday,,,£149,,,,,
The finest shirts from £19.95 | Black Friday,t.m.lewin,Black Friday,,,£1995,,,,,
New Black Friday Deals Now Live.,t.m.lewin,Black Friday,,,,,,,,
Now up to 50% off EVERYTHING.,t.m.lewin,,,50%,,up to,,,,
Free delivery on all orders | Up to 50% off EVERYTHING,t.m.lewin,,,50%,,up to,,free delivery,,
Final 24 Hours! Black Friday offers must end,t.m.lewin,Black Friday,,,,,,,,
Exclusive Offer - 25% Off Everything,t.m.lewin,,,25%,,,,,,
25% Off Everything Ends Tomorrow!,t.m.lewin,,,25%,,,,,,
Did someone say 'Party'?,t.m.lewin,,,,,,,,,
12 shirts to get you through the festive season.,t.m.lewin,,,,,,,,,
"[CUSTOMER_NAME], your exclusive sale preview is now live!",t.m.lewin,,,,,,sale,,[CUSTOMER_NAME],
Sale Now On! | Up to 50% Off,t.m.lewin,,,50%,,up to,sale,,,
Sale Shirts from £19.95,t.m.lewin,,,,£1995,,sale,,,
Boxing Day Sale Offer,t.m.lewin,Boxing Day,,,,,sale,,,
Extra 10% Off Everything! | 48 Hours Only,t.m.lewin,,,10%,,,,,,
Further Reductions…,t.m.lewin,,,,,,,,,
Sale just got better... Now up to 60% off,t.m.lewin,,,60%,,up to,sale,,,
Sale Shirts | 4 From £80,t.m.lewin,,,,£80,,sale,,,
Final Reductions | Shirts Now 4 From £70,t.m.lewin,,,,£70,,,,,
Shirts now 4 from £70 | Extra 10% off all sale suits,t.m.lewin,,,10%,£70,,sale,,,
Sale Shirts Now £19.95!,t.m.lewin,,,,£1995,,sale,,,
Extra 10% off ALL Sale! Shirts from £17.95,t.m.lewin,,,10%,£1795,,sale,,,
Sale! Final weekend… Up to 70% off,t.m.lewin,,,70%,,up to,sale,,,
Last Chance! Save up to 70% off,t.m.lewin,,,70%,,up to,,,,
Shirts £14.95 | Secret Clearance,t.m.lewin,,,,£1495,,,,,
Secret Clearance ends Monday!,t.m.lewin,,,,,,,,,
Sharpen up with a new suit.,t.m.lewin,,,,,,,,,
The Finest Shirts | 5 from £90,t.m.lewin,,,,£90,,,,,
Enjoy 25% off your next order!,t.m.lewin,,,25%,,,,,,
Hurry! 25% off ends soon...,t.m.lewin,,,25%,,,,,,
Because Every Day Is Different.,t.m.lewin,,,,,,,,,
Choose Your Look. Win £1000….,t.m.lewin,,,,£1000…,,,,,
Work Smart: Different Meetings? Different Outfits!,t.m.lewin,,,,,,,,,
Shirts 5 From £100. Limited Time.,t.m.lewin,,,,£100,,,,,
Save Over £100 | 5 Shirts From £100,t.m.lewin,,,,£100,,,,,
5 Shirts From £100 | Ends Tomorrow,t.m.lewin,,,,£100,,,,,
Now Extended | 5 shirts from £100,t.m.lewin,,,,£100,,,,,
Sale Preview Now Live.,t.m.lewin,,,,,,sale,,,
"[CUSTOMER_NAME], Your Exclusive Sale Preview.",t.m.lewin,,,,,,sale,,[CUSTOMER_NAME],
Sale Now On | Up to 50% off,t.m.lewin,,,50%,,up to,sale,,,
Shirts Now 4 From £80,t.m.lewin,,,,£80,,,,,
Sale Shirts 4 from £80 | What's your fit?,t.m.lewin,,,,£80,,sale,,,
A message from our CEO,t.m.lewin,,,,,,,,,
Shirts now 5 for £90,t.m.lewin,,,,£90,,,,,
Ends Today | 5 Shirts for £90,t.m.lewin,,,,£90,,,,,
All Shirts Now £22.50,t.m.lewin,,,,£2250,,,,,
Work Safe. Work Smart. All Shirts £22.50.,t.m.lewin,,,,£2250,,,,,
Ends Today | All Shirts Only £22.50,t.m.lewin,,,,£2250,,,,,
An important update from T.M.Lewin,t.m.lewin,,,,,,,,,
40% Off Suits | Email Exclusive,t.m.lewin,,,40%,,,,,,
All Sale Shirts Now £17.95 or Less!,t.m.lewin,,,,£1795,,sale,,,
Over 600 Styles Available! All Sale Shirts Now £17.95,t.m.lewin,,,,£1795,,sale,,,
Sale just got better… 4 shirts for £60,t.m.lewin,,,,£60,,sale,,,
